step,time_hours,time_seconds,time_minutes,Explore-Inner_P_load_kW,Explore-Inner_P_pv_kW,Explore-Inner_P_station_used_kW,Explore-Inner_P_bat_kW,Explore-Inner_unmet_kW,Explore-Mid_P_load_kW,Explore-Mid_P_pv_kW,Explore-Mid_P_station_used_kW,Explore-Mid_P_bat_kW,Explore-Mid_unmet_kW,Explore-Outer_P_load_kW,Explore-Outer_P_pv_kW,Explore-Outer_P_station_used_kW,Explore-Outer_P_bat_kW,Explore-Outer_unmet_kW,Drone-3m_P_load_kW,Drone-3m_P_pv_kW,Drone-3m_P_station_used_kW,Drone-3m_P_bat_kW,Drone-3m_unmet_kW,Drone-6m_P_load_kW,Drone-6m_P_pv_kW,Drone-6m_P_station_used_kW,Drone-6m_P_bat_kW,Drone-6m_unmet_kW,Drone-9m_P_load_kW,Drone-9m_P_pv_kW,Drone-9m_P_station_used_kW,Drone-9m_P_bat_kW,Drone-9m_unmet_kW
63,0.00175,6.3,0.105,0.02,0.0,0.0,0.02,0.0,0.21961799999999998,0.0,0.0,0.21961799999999998,0.0,0.21961799999999998,0.0,0.0,0.21961799999999998,0.0,0.0122284,0.0,0.0,0.0122284,0.0,0.0122284,0.0,0.0,0.0122284,0.0,0.0122284,0.0,0.0,0.0122284,0.0
64,0.0017777777777777779,6.4,0.10666666666666667,0.02,0.0,0.0,0.02,0.0,0.220134,0.0,0.0,0.220134,0.0,0.220134,0.0,0.0,0.220134,0.0,0.0122452,0.0,0.0,0.0122452,0.0,0.0122452,0.0,0.0,0.0122452,0.0,0.0122452,0.0,0.0,0.0122452,0.0
65,0.0018055555555555557,6.500000000000001,0.10833333333333335,0.02,0.0,0.0,0.02,0.0,0.22065,0.0,0.0,0.22065,0.0,0.22065,0.0,0.0,0.22065,0.0,0.012261999999999999,0.0,0.0,0.012261999999999999,0.0,0.012261999999999999,0.0,0.0,0.012261999999999999,0.0,0.012261999999999999,0.0,0.0,0.012261999999999999,0.0
66,0.0018333333333333335,6.6000000000000005,0.11000000000000001,0.02,0.0,0.0,0.02,0.0,0.221166,0.0,0.0,0.221166,0.0,0.221166,0.0,0.0,0.221166,0.0,0.0122788,0.0,0.0,0.0122788,0.0,0.0122788,0.0,0.0,0.0122788,0.0,0.0122788,0.0,0.0,0.0122788,0.0
67,0.0018611111111111111,6.7,0.11166666666666666,0.02,0.0,0.0,0.02,0.0,0.221682,0.0,0.0,0.221682,0.0,0.221682,0.0,0.0,0.221682,0.0,0.0122956,0.0,0.0,0.0122956,0.0,0.0122956,0.0,0.0,0.0122956,0.0,0.0122956,0.0,0.0,0.0122956,0.0
68,0.001888888888888889,6.8,0.11333333333333333,0.02,0.0,0.0,0.02,0.0,0.22219799999999998,0.0,0.0,0.22219799999999998,0.0,0.22219799999999998,0.0,0.0,0.22219799999999998,0.0,0.0123124,0.0,0.0,0.0123124,0.0,0.0123124,0.0,0.0,0.0123124,0.0,0.0123124,0.0,0.0,0.0123124,0.0
69,0.0019166666666666668,6.9,0.115,0.02,0.0,0.0,0.02,0.0,0.222714,0.0,0.0,0.222714,0.0,0.222714,0.0,0.0,0.222714,0.0,0.0123292,0.0,0.0,0.0123292,0.0,0.0123292,0.0,0.0,0.0123292,0.0,0.0123292,0.0,0.0,0.0123292,0.0
70,0.0019444444444444446,7.000000000000001,0.11666666666666668,0.02,0.0,0.0,0.02,0.0,0.22322999999999998,0.0,0.0,0.22322999999999998,0.0,0.22322999999999998,0.0,0.0,0.22322999999999998,0.0,0.012346,0.0,0.0,0.012346,0.0,0.012346,0.0,0.0,0.012346,0.0,0.012346,0.0,0.0,0.012346,0.0
71,0.0019722222222222224,7.1000000000000005,0.11833333333333335,0.02,0.0,0.0,0.02,0.0,0.223746,0.0,0.0,0.223746,0.0,0.223746,0.0,0.0,0.223746,0.0,0.0123628,0.0,0.0,0.0123628,0.0,0.0123628,0.0,0.0,0.0123628,0.0,0.0123628,0.0,0.0,0.0123628,0.0
72,0.002,7.2,0.12000000000000001,0.02,0.0,0.0,0.02,0.0,0.224262,0.0,0.0,0.224262,0.0,0.224262,0.0,0.0,0.224262,0.0,0.012379600000000001,0.0,0.0,0.012379600000000001,0.0,0.012379600000000001,0.0,0.0,0.012379600000000001,0.0,0.012379600000000001,0.0,0.0,0.012379600000000001,0.0
73,0.002027777777777778,7.300000000000001,0.12166666666666667,0.02,0.0,0.0,0.02,0.0,0.224778,0.0,0.0,0.224778,0.0,0.224778,0.0,0.0,0.224778,0.0,0.0123964,0.0,0.0,0.0123964,0.0,0.0123964,0.0,0.0,0.0123964,0.0,0.0123964,0.0,0.0,0.0123964,0.0
74,0.0020555555555555557,7.4,0.12333333333333334,0.02,0.0,0.0,0.02,0.0,0.225294,0.0,0.0,0.225294,0.0,0.225294,0.0,0.0,0.225294,0.0,0.0124132,0.0,0.0,0.0124132,0.0,0.0124132,0.0,0.0,0.0124132,0.0,0.0124132,0.0,0.0,0.0124132,0.0
