step,time_hours,time_seconds,time_minutes,Explore-Inner_x_m,Explore-Inner_y_m,Explore-Inner_mode,Explore-Inner_charge_station_id,Explore-Mid_x_m,Explore-Mid_y_m,Explore-Mid_mode,Explore-Mid_charge_station_id,Explore-Outer_x_m,Explore-Outer_y_m,Explore-Outer_mode,Explore-Outer_charge_station_id,Drone-3m_x_m,Drone-3m_y_m,Drone-3m_mode,Drone-3m_charge_station_id,Drone-6m_x_m,Drone-6m_y_m,Drone-6m_mode,Drone-6m_charge_station_id,Drone-9m_x_m,Drone-9m_y_m,Drone-9m_mode,Drone-9m_charge_station_id
42,0.0011666666666666668,4.2,0.07,14.2255,8.438,WAIT_PV,-1,7.9425322118705255,12.787306773660323,WORK,-1,7.221785999883734,0.9821285000290665,WORK,-1,7.650651320754717,6.512792830188679,WORK,-1,10.65366754716981,11.418824528301887,WORK,-1,15.688164528301886,6.36846679245283,WORK,-1
43,0.0011944444444444446,4.300000000000001,0.07166666666666668,14.2255,8.438,WAIT_PV,-1,7.862004934768601,12.846597225189635,WORK,-1,7.1247717498692005,1.0063820625326998,WORK,-1,7.651993018867924,6.522330754716981,WORK,-1,10.664728679245282,11.41291320754717,WORK,-1,15.66807320754717,6.369989811320755,WORK,-1
44,0.0012222222222222222,4.4,0.07333333333333333,14.2255,8.438,WAIT_PV,-1,7.781477657666676,12.90588767671895,WORK,-1,7.027757499854667,1.030635625036333,WORK,-1,7.653334716981131,6.5318686792452825,WORK,-1,10.675789811320755,11.407001886792454,WORK,-1,15.647981886792454,6.371512830188679,WORK,-1
45,0.00125,4.5,0.075,14.2255,8.438,WAIT_PV,-1,7.681760689624654,12.898369280313714,WORK,-1,6.930743249840134,1.0548891875399664,WORK,-1,7.65467641509434,6.541406603773585,WORK,-1,10.686850943396227,11.401090566037736,WORK,-1,15.627890566037737,6.3730358490566035,WORK,-1
46,0.0012777777777777779,4.6000000000000005,0.07666666666666667,14.2255,8.438,WAIT_PV,-1,7.5820437215826315,12.890850883908481,WORK,-1,6.833728999825601,1.0791427500435997,WORK,-1,7.656018113207547,6.550944528301886,WORK,-1,10.697912075471699,11.39517924528302,WORK,-1,15.60779924528302,6.374558867924528,WORK,-1
47,0.0013055555555555557,4.7,0.07833333333333334,14.2255,8.438,WAIT_PV,-1,7.482326753540609,12.883332487503246,WORK,-1,6.7367147498110675,1.103396312547233,WORK,-1,7.657359811320754,6.560482452830189,WORK,-1,10.708973207547169,11.389267924528301,WORK,-1,15.587707924528301,6.376081886792453,WORK,-1
48,0.0013333333333333335,4.800000000000001,0.08000000000000002,14.2255,8.438,WAIT_PV,-1,7.382609785498587,12.875814091098013,WORK,-1,6.639700499796534,1.1276498750508663,WORK,-1,7.658701509433962,6.57002037735849,WORK,-1,10.720034339622641,11.383356603773585,WORK,-1,15.567616603773585,6.377604905660378,WORK,-1
49,0.0013611111111111111,4.9,0.08166666666666668,14.2255,8.438,WAIT_PV,-1,7.282892817456564,12.868295694692778,WORK,-1,6.542686249782001,1.1519034375544996,WORK,-1,7.66004320754717,6.579558301886792,WORK,-1,10.731095471698113,11.377445283018867,WORK,-1,15.547525283018869,6.3791279245283015,WORK,-1
50,0.001388888888888889,5.0,0.08333333333333333,14.2255,8.438,WAIT_PV,-1,7.183175849414542,12.860777298287545,WORK,-1,6.452198994405609,1.1944716958515869,WORK,-1,7.661384905660377,6.589096226415094,WORK,-1,10.742156603773585,11.37153396226415,WORK,-1,15.527433962264151,6.380650943396226,WORK,-1
51,0.0014166666666666668,5.1000000000000005,0.085,14.2255,8.438,WAIT_PV,-1,7.083458881372519,12.85325890188231,WORK,-1,6.361711739029216,1.237039954148674,WORK,-1,7.662726603773585,6.598634150943395,WORK,-1,10.753217735849057,11.365622641509434,WORK,-1,15.507342641509435,6.382173962264151,WORK,-1
52,0.0014444444444444446,5.2,0.08666666666666667,14.2255,8.438,WAIT_PV,-1,6.983741913330497,12.845740505477076,WORK,-1,6.271224483652824,1.2796082124457613,WORK,-1,7.664068301886792,6.608172075471698,WORK,-1,10.764278867924528,11.359711320754718,WORK,-1,15.487251320754718,6.383696981132076,WORK,-1
53,0.0014722222222222222,5.3,0.08833333333333333,14.2255,8.438,WAIT_PV,-1,6.9023,12.8396,WORK,-1,6.180737228276431,1.3221764707428485,WORK,-1,7.66541,6.617710000000001,WORK,-1,10.77534,11.3538,WORK,-1,15.46716,6.38522,WORK,-1
54,0.0015,5.4,0.09000000000000001,14.2255,8.438,WAIT_PV,-1,6.816975779707395,12.787448514580515,WORK,-1,6.090249972900039,1.3647447290399357,WORK,-1,7.666751698113208,6.627247924528302,WORK,-1,10.786401132075472,11.347888679245283,WORK,-1,15.447068679245284,6.386743018867925,WORK,-1
